rental_date,st_property_id
31/1/2014,ST100
31/1/2014,ST106
31/1/2014,ST107
31/1/2014,ST109
31/1/2014,ST113
31/1/2014,ST114
31/1/2014,ST116
31/1/2014,ST118
31/1/2014,ST119
31/1/2014,ST123
31/1/2014,ST126
31/1/2014,ST127
31/1/2014,ST128
31/1/2014,ST13
31/1/2014,ST131
31/1/2014,ST134
31/1/2014,ST137
31/1/2014,ST139
31/1/2014,ST14
31/1/2014,ST142
31/1/2014,ST143
31/1/2014,ST147
31/1/2014,ST149
31/1/2014,ST15
31/1/2014,ST150
31/1/2014,ST152
31/1/2014,ST154
31/1/2014,ST155
31/1/2014,ST156
31/1/2014,ST160
31/1/2014,ST161
31/1/2014,ST165
31/1/2014,ST166
31/1/2014,ST168
31/1/2014,ST169
31/1/2014,ST170
31/1/2014,ST172
31/1/2014,ST175
31/1/2014,ST176
31/1/2014,ST178
31/1/2014,ST179
31/1/2014,ST18
31/1/2014,ST180
31/1/2014,ST181
31/1/2014,ST182
31/1/2014,ST185
31/1/2014,ST186
31/1/2014,ST191
31/1/2014,ST194
31/1/2014,ST196
31/1/2014,ST198
31/1/2014,ST199
31/1/2014,ST2
31/1/2014,ST203
31/1/2014,ST204
31/1/2014,ST205
31/1/2014,ST206
31/1/2014,ST209
31/1/2014,ST220
31/1/2014,ST221
31/1/2014,ST222
31/1/2014,ST224
31/1/2014,ST225
31/1/2014,ST226
31/1/2014,ST230
31/1/2014,ST231
31/1/2014,ST232
31/1/2014,ST235
31/1/2014,ST243
31/1/2014,ST244
31/1/2014,ST3
31/1/2014,ST32
31/1/2014,ST33
31/1/2014,ST35
31/1/2014,ST355
31/1/2014,ST356
31/1/2014,ST357
31/1/2014,ST359
31/1/2014,ST360
31/1/2014,ST363
31/1/2014,ST366
31/1/2014,ST37
31/1/2014,ST38
31/1/2014,ST40
31/1/2014,ST42
31/1/2014,ST422
31/1/2014,ST423
31/1/2014,ST425
31/1/2014,ST426
31/1/2014,ST427
31/1/2014,ST43
31/1/2014,ST47
31/1/2014,ST488
31/1/2014,ST49
31/1/2014,ST50
31/1/2014,ST513
31/1/2014,ST514
31/1/2014,ST515
31/1/2014,ST519
31/1/2014,ST67
31/1/2014,ST69
31/1/2014,ST7
31/1/2014,ST71
31/1/2014,ST72
31/1/2014,ST74
31/1/2014,ST75
31/1/2014,ST76
31/1/2014,ST77
31/1/2014,ST79
31/1/2014,ST80
31/1/2014,ST81
31/1/2014,ST82
31/1/2014,ST85
31/1/2014,ST88
31/1/2014,ST89
31/1/2014,ST91
31/1/2014,ST92
31/1/2014,ST95
31/1/2014,ST97
31/1/2014,ST99
1/2/2014,ST10
1/2/2014,ST102
1/2/2014,ST106
1/2/2014,ST107
1/2/2014,ST112
1/2/2014,ST113
1/2/2014,ST114
1/2/2014,ST118
1/2/2014,ST12
1/2/2014,ST121
1/2/2014,ST122
1/2/2014,ST126
1/2/2014,ST129
1/2/2014,ST138
1/2/2014,ST14
1/2/2014,ST140
1/2/2014,ST142
1/2/2014,ST143
1/2/2014,ST149
1/2/2014,ST15
1/2/2014,ST151
1/2/2014,ST153
1/2/2014,ST155
1/2/2014,ST157
1/2/2014,ST159
1/2/2014,ST161
1/2/2014,ST162
1/2/2014,ST163
1/2/2014,ST164
1/2/2014,ST165
1/2/2014,ST166
1/2/2014,ST167
1/2/2014,ST17
1/2/2014,ST170
1/2/2014,ST171
1/2/2014,ST172
1/2/2014,ST178
1/2/2014,ST181
1/2/2014,ST185
1/2/2014,ST19
1/2/2014,ST192
1/2/2014,ST195
1/2/2014,ST196
1/2/2014,ST197
1/2/2014,ST199
1/2/2014,ST202
1/2/2014,ST204
1/2/2014,ST205
1/2/2014,ST206
1/2/2014,ST207
1/2/2014,ST21
1/2/2014,ST211
1/2/2014,ST218
1/2/2014,ST220
1/2/2014,ST224
1/2/2014,ST227
1/2/2014,ST228
1/2/2014,ST232
1/2/2014,ST235
1/2/2014,ST239
1/2/2014,ST242
1/2/2014,ST243
1/2/2014,ST34
1/2/2014,ST355
1/2/2014,ST358
1/2/2014,ST360
1/2/2014,ST365
1/2/2014,ST366
1/2/2014,ST38
1/2/2014,ST40
1/2/2014,ST41
1/2/2014,ST423
1/2/2014,ST424
1/2/2014,ST427
1/2/2014,ST45
1/2/2014,ST47
1/2/2014,ST48
1/2/2014,ST488
1/2/2014,ST5
1/2/2014,ST50
1/2/2014,ST512
1/2/2014,ST515
1/2/2014,ST519
1/2/2014,ST52
1/2/2014,ST520
1/2/2014,ST53
1/2/2014,ST54
1/2/2014,ST69
1/2/2014,ST7
1/2/2014,ST70
1/2/2014,ST71
1/2/2014,ST72
1/2/2014,ST73
1/2/2014,ST75
1/2/2014,ST76
1/2/2014,ST8
1/2/2014,ST83
1/2/2014,ST84
1/2/2014,ST87
1/2/2014,ST89
1/2/2014,ST9
1/2/2014,ST96
1/2/2014,ST97
2/2/2014,ST10
2/2/2014,ST102
2/2/2014,ST105
2/2/2014,ST106
2/2/2014,ST107
2/2/2014,ST111
2/2/2014,ST113
2/2/2014,ST114
2/2/2014,ST115
2/2/2014,ST116
2/2/2014,ST117
2/2/2014,ST12
2/2/2014,ST121
2/2/2014,ST123
2/2/2014,ST124
2/2/2014,ST125
2/2/2014,ST13
2/2/2014,ST134
2/2/2014,ST136
2/2/2014,ST137
2/2/2014,ST138
2/2/2014,ST139
2/2/2014,ST14
2/2/2014,ST142
2/2/2014,ST149
2/2/2014,ST15
2/2/2014,ST150
2/2/2014,ST151
2/2/2014,ST152
2/2/2014,ST156
2/2/2014,ST16
2/2/2014,ST160
2/2/2014,ST162
2/2/2014,ST163
2/2/2014,ST164
2/2/2014,ST165
2/2/2014,ST166
2/2/2014,ST167
2/2/2014,ST168
2/2/2014,ST170
2/2/2014,ST173
2/2/2014,ST176
2/2/2014,ST181
2/2/2014,ST182
2/2/2014,ST185
2/2/2014,ST187
2/2/2014,ST191
2/2/2014,ST192
2/2/2014,ST196
2/2/2014,ST198
2/2/2014,ST20
2/2/2014,ST200
2/2/2014,ST202
2/2/2014,ST21
2/2/2014,ST211
2/2/2014,ST220
2/2/2014,ST221
2/2/2014,ST222
2/2/2014,ST223
2/2/2014,ST225
2/2/2014,ST230
2/2/2014,ST235
2/2/2014,ST237
2/2/2014,ST241
2/2/2014,ST244
2/2/2014,ST32
2/2/2014,ST35
2/2/2014,ST355
2/2/2014,ST357
2/2/2014,ST359
2/2/2014,ST361
2/2/2014,ST362
2/2/2014,ST363
2/2/2014,ST366
2/2/2014,ST37
2/2/2014,ST4
2/2/2014,ST40
