ws_property_id,location,property_type_id,current_monthly_rent,apt_house,num_bedrooms,kitchen,shared,percentile_10th_price,percentile_90th_price,sample_nightly_rent_price
W1,L9531,R6,1060,apartment,2,Y,N,168,392,322
W1,L9531,R6,1060,apartment,2,Y,N,154,286,230
W1,L9531,R6,1060,apartment,2,Y,N,192,357,266
W1,L9531,R6,1060,apartment,2,Y,N,94,531,427
W1,L9531,R6,1060,apartment,2,Y,N,154,480,154
W1,L9531,R6,1060,apartment,2,Y,N,273,853,432
W1,L9531,R6,1060,apartment,2,Y,N,218,681,560
W1,L9531,R6,1060,apartment,2,Y,N,196,612,373
W1,L9531,R6,1060,apartment,2,Y,N,210,654,426
W1,L9531,R6,1060,apartment,2,Y,N,155,483,294
W1,L9531,R6,1060,apartment,2,Y,N,116,361,284
W1,L9531,R6,1060,apartment,2,Y,N,115,179,156
W1,L9531,R6,1060,apartment,2,Y,N,125,170,139
W1,L9531,R6,1060,apartment,2,Y,N,108,205,147
W1,L9531,R6,1060,apartment,2,Y,N,220,312,260
W1,L9531,R6,1060,apartment,2,Y,N,135,284,189
W1,L9531,R6,1060,apartment,2,Y,N,160,323,237
W1,L9531,R6,1060,apartment,2,Y,N,221,617,429
W1,L9531,R6,1060,apartment,2,Y,N,80,583,212
W1,L9531,R6,1060,apartment,2,Y,N,175,917,462
W1,L9531,R6,1060,apartment,2,Y,N,234,794,374
W1,L9531,R6,1060,apartment,2,Y,N,262,567,430
W1,L9531,R6,1060,apartment,2,Y,N,130,200,169
W1,L9531,R6,1060,apartment,2,Y,N,125,277,203
W1,L9531,R6,1060,apartment,2,Y,N,161,319,283
W1,L9531,R6,1060,apartment,2,Y,N,135,305,246
W1,L9531,R6,1060,apartment,2,Y,N,265,534,443
W1,L9531,R6,1060,apartment,2,Y,N,270,543,424
W1,L9531,R6,1060,apartment,2,Y,N,270,544,329
W1,L9531,R6,1060,apartment,2,Y,N,264,532,378
W1,L9531,R6,1060,apartment,2,Y,N,270,543,461
W1,L9531,R6,1060,apartment,2,Y,N,134,568,481
W1,L9531,R6,1060,apartment,2,Y,N,225,1033,538
W1,L9531,R6,1060,apartment,2,Y,N,107,781,579
W1,L9531,R6,1060,apartment,2,Y,N,366,594,417
W1,L9531,R6,1060,apartment,2,Y,N,228,456,245
W1,L9531,R6,1060,apartment,2,Y,N,332,805,663
W1,L9531,R6,1060,apartment,2,Y,N,220,534,302
W1,L9531,R6,1060,apartment,2,Y,N,194,471,343
W1,L9531,R6,1060,apartment,2,Y,N,204,494,284
W1,L9531,R6,1060,apartment,2,Y,N,265,644,478
W1,L9531,R6,1060,apartment,2,Y,N,228,457,377
W1,L9531,R6,1060,apartment,2,Y,N,152,247,210
W1,L9531,R6,1060,apartment,2,Y,N,145,462,263
W1,L9531,R6,1060,apartment,2,Y,N,120,188,151
W1,L9531,R6,1060,apartment,2,Y,N,77,260,136
W1,L9531,R6,1060,apartment,2,Y,N,127,276,207
W1,L9531,R6,1060,apartment,2,Y,N,173,690,360
W1,L9531,R6,1060,apartment,2,Y,N,203,318,246
W1,L9531,R6,1060,apartment,2,Y,N,119,505,274
W1,L9531,R6,1060,apartment,2,Y,N,168,364,308
W1,L9531,R6,1060,apartment,2,Y,N,157,340,241
W1,L9531,R6,1060,apartment,2,Y,N,69,485,340
W1,L9531,R6,1060,apartment,2,Y,N,173,581,392
W1,L9531,R6,1060,apartment,2,Y,N,157,526,337
W1,L9531,R6,1060,apartment,2,Y,N,130,438,265
W1,L9531,R6,1060,apartment,2,Y,N,129,431,231
W1,L9531,R6,1060,apartment,2,Y,N,193,648,415
W1,L9531,R6,1060,apartment,2,Y,N,114,153,148
W1,L9531,R6,1060,apartment,2,Y,N,111,148,142
W1,L9531,R6,1060,apartment,2,Y,N,111,149,133
W1,L9531,R6,1060,apartment,2,Y,N,111,147,123
W10,L9533,R6,1200,apartment,2,Y,N,168,392,322
W10,L9533,R6,1200,apartment,2,Y,N,154,286,230
W10,L9533,R6,1200,apartment,2,Y,N,192,357,266
W10,L9533,R6,1200,apartment,2,Y,N,94,531,427
W10,L9533,R6,1200,apartment,2,Y,N,154,480,154
W10,L9533,R6,1200,apartment,2,Y,N,273,853,432
W10,L9533,R6,1200,apartment,2,Y,N,218,681,560
W10,L9533,R6,1200,apartment,2,Y,N,196,612,373
W10,L9533,R6,1200,apartment,2,Y,N,210,654,426
W10,L9533,R6,1200,apartment,2,Y,N,155,483,294
W10,L9533,R6,1200,apartment,2,Y,N,116,361,284
W10,L9533,R6,1200,apartment,2,Y,N,115,179,156
W10,L9533,R6,1200,apartment,2,Y,N,125,170,139
W10,L9533,R6,1200,apartment,2,Y,N,108,205,147
W10,L9533,R6,1200,apartment,2,Y,N,220,312,260
W10,L9533,R6,1200,apartment,2,Y,N,135,284,189
W10,L9533,R6,1200,apartment,2,Y,N,160,323,237
W10,L9533,R6,1200,apartment,2,Y,N,221,617,429
W10,L9533,R6,1200,apartment,2,Y,N,80,583,212
W10,L9533,R6,1200,apartment,2,Y,N,175,917,462
W10,L9533,R6,1200,apartment,2,Y,N,234,794,374
W10,L9533,R6,1200,apartment,2,Y,N,262,567,430
W10,L9533,R6,1200,apartment,2,Y,N,130,200,169
W10,L9533,R6,1200,apartment,2,Y,N,125,277,203
W10,L9533,R6,1200,apartment,2,Y,N,161,319,283
W10,L9533,R6,1200,apartment,2,Y,N,135,305,246
W10,L9533,R6,1200,apartment,2,Y,N,265,534,443
W10,L9533,R6,1200,apartment,2,Y,N,270,543,424
W10,L9533,R6,1200,apartment,2,Y,N,270,544,329
